Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2012,College of Tech & Ag at Cobleskill,Technology Colleges,467,369,98,162,99,63,150,121,29,155,149,6
2012,College of Tech & Ag at Morrisville,Technology Colleges,590,422,168,236,140,96,165,116,49,189,166,23
2012,College of Tech at Alfred,Technology Colleges,598,516,82,221,168,53,168,141,27,209,207,2
2012,College of Tech at Canton,Technology Colleges,531,368,163,216,125,91,194,130,64,121,113,8
2012,College of Tech at Delhi,Technology Colleges,524,364,160,224,128,96,138,104,34,162,132,30
2012,College of Tech at Farmingdale,Technology Colleges,1157,585,572,639,215,424,264,168,96,254,202,52
2012,Columbia-Greene Community College,Community Colleges,287,144,143,119,45,74,88,58,30,80,41,39
2012,Cornell Statutory Colleges,Doctoral Institutions,4551,3466,1085,1361,1235,126,2103,1211,892,1087,1020,67
2012,Corning Community College,Community Colleges,539,287,252,269,92,177,106,105,1,164,90,74
2012,Downstate Medical Center,Doctoral Institutions,4837,4355,482,931,657,274,2890,2707,183,1016,991,25
2012,Dutchess Community College,Community Colleges,956,339,617,570,128,442,225,114,111,161,97,64
2012,Erie Community College,Community Colleges,1705,757,948,878,323,555,344,218,126,483,216,267
2012,Fashion Institute of Technology,Community Colleges,1667,776,891,943,236,707,387,295,92,337,245,92
2012,Finger Lakes Community College,Community Colleges,616,319,297,383,118,265,136,113,23,97,88,9
2012,Fulton-Montgomery Community College,Community Colleges,324,156,168,135,54,81,138,53,85,51,49,2
2012,Genesee Community College,Community Colleges,694,305,389,368,87,281,205,126,79,121,92,29
2012,Herkimer County Community College,Community Colleges,344,189,155,164,69,95,62,56,6,118,64,54
2012,Hudson Valley Community College,Community Colleges,1157,591,566,669,224,445,283,187,96,205,180,25
2012,Jamestown Community College,Community Colleges,588,230,358,370,76,294,98,81,17,120,73,47
2012,Jefferson Community College,Community Colleges,441,219,222,260,79,181,100,73,27,81,67,14
2012,Mohawk Valley Community College,Community Colleges,875,445,430,402,142,260,309,165,144,164,138,26
2012,Monroe Community College,Community Colleges,1761,919,842,902,323,579,414,302,112,445,294,151
2012,Nassau Community College,Community Colleges,2602,1132,1470,1562,496,1066,561,295,266,479,341,138
2012,Niagara County Community College,Community Colleges,701,309,392,397,110,287,179,88,91,125,111,14
